show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,
s6062-netflix,Movie,A Thousand Words,Brian Robbins,"Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer",United States,1-Jul-20,2012,PG-13,92 min,Comedies,"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count.",
s8886-amazon,Movie,A Thousand Years of Good Prayers,Wayne Wang,"Henry O, Pavel Lychnikoff, Feihong Yu, Vida Ghahremani, Megan Albertus, Wes Deitrick, Angela Dierdorff Petro, Liz Mathews, Ryan Sanson, Tracy Schornick, Trent Sweeney, Patrick Treadway, Lonny W. Waddle, Jared Wagner",,,2007,UNRATED,83 min,"Drama, Romance",A woman in her early 40s moves from China to America to start a new life. Her father comes to visit her because of her recent divorce. Their social and generational conflicts reveal the darker lies and cover-ups within her family during the Cultural Revolution.,
s4176-amazon,Movie,A Time for Heaven,"Craig McMahon, Auturo Gavino","John Paquette, Barbara McBain, Greg Lutz, Julie Van Lith, Shari K. Green, Nadine Jackson, Mitch Etter, Bill Wetherill, Tim Helmstader",,,2018,7+,88 min,Drama,"Based on the incredible true story about a tenacious nurse, who helped people that had reached the end of their lives come to terms with God and heaven, was assigned an unexpected patient. From the creators of ""A Box of Faith"" and ""Before All Others"" comes this inspirational story of unconditional love.",
s2307-netflix,TV Show,A Touch of Green,,"Weber Yang, Cheryl Yang, Tien Hsin, Gabriel Lan, Wu Kang-jen, Cindy Lien, Wen Chen-ling, Hans Chung",Taiwan,1-Jul-20,2016,TV-MA,1 Season,"International TV Shows, TV Dramas","Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",
s3387-amazon,Movie,A Tour Through Hawaii,Mark Knight,,,,2012,ALL,60 min,Special Interest,"A relaxing video postcard with no narration or music-simply the natural sounds and video in HD. Enjoy the spectacular natural beauty of Hawaii including, Eternity Beach, Ioa Valley Park, Blowhole, Rainbow Falls, Kawaiola Bay, Lotus Flower ponds, Jungle Waterfall, Makapu'u Tide Pools, Maui Twin Falls, Kaeohe Bay, Tunnels Beach at Hanalei, Waimoku Falls, Haleakala National Forest, and more.",
s6044-amazon,TV Show,A Toy Store Near You,,"Jayden Frost, Jonathan Schoonveld, Pieter Kamp, Andrew Leung, Christine Osborne, Emmy Frost, Andrew Kissner, Colton Grimes, Sofia Foglia, Danny Ortiz, Ryan Wilhelm, Ryan Hartsell, Shannon Blameuser, Matt Quinnan, Elias Gonzalez, Zachary Cannon, Dan Tinaglia, Joe Tinaglia, Gina Venable, Dan Polydoris, Michel Van Staveren, Joshua Baumgarten, Geoffrey Cannaby, Eva Van Den Anker, Gonneke Van Der Vijver, Aafke De Vries, John Powell, Anthony Barbaria, Sief Naser, Tim Gier, Tori Gier, Elizabeth Darby, Cody Deen, Kathy McKay, Debbie Doscher",,23-Jun-21,2021,TV-14,3 Seasons,"Documentary, Kids, Science Fiction","Throughout the world, there are hundreds of independently-owned toy stores, each one as unique & endearing as the people that own them. This community has been disrupted by the Covid-19 pandemic as store owners are finding new ways to keep their businesses running. Whether you're an avid collector or a toy store novice, these stories are universally powerful, sometimes heartbreaking, & always fun.",
s1557-netflix,Movie,A Trash Truck Christmas,Eddie Rosas,"Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, John DiMaggio",,11-Dec-20,2020,TV-Y,28 min,Children & Family Movies,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",
s3386-amazon,Movie,A Trip Through Lake Tahoe,Mark Knight,,,,2013,ALL,60 min,Special Interest,"A relaxing video postcard format with no narration or music-simply the natural sounds and video in HD. Relax with vistas of Lake Tahoe's spectacular natural beauty including beaches, waterfalls and mountains. Relax with Sharecare Windows.",
s3385-amazon,Movie,A Trip Through The World's Greatest Cities,Mark Knight,,,,2012,ALL,60 min,"Arthouse, Special Interest","This relaxing video postcard takes you to some of the world's most interesting destinations. You'll enjoy these HD videos accompanied by the naturally occurring ambient sounds. Destinations include; Amsterdam, Chicago, Buenos Aries, Venice, Sao Paulo, New York City, Valencia and Barcelona, Harbin China, and Tokyo. No passport required.",
s3152-netflix,Movie,A Trip to Jamaica,Robert O. Peters,"Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies, Paul Campbell, Chris Attoh, Rebecca Silvera, Eric Roberts, Joe Diaz, Alex Moore",Nigeria,13-Dec-19,2016,TV-MA,99 min,"Comedies, International Movies",A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,
